wav_filename,wav_filesize,transcript
/content/asr-task2-data/kannada_train/knf_08476_00023010443.wav,212,ತನ್ನ ವ್ಯವಹಾರದಿಂದ ಸಂಭವಿಸಬಹುದಾದ ಎಲ್ಲ ಲಾಭನಷ್ಟಗಳಿಗೂ ಈ ಸಂಸ್ಥೆಯೇ ಪುರ್ಣವಾಗಿ ಹೊಣೆಯಾಗಿದೆ
/content/asr-task2-data/kannada_train/knf_00557_01097230618.wav,483372,ಪರ್ವತಗಳು ವಾಯುವಿಗನುಗುಣವಾಗಿ ಕಂಪಿಸುವುವು.
/content/asr-task2-data/kannada_train/knf_00557_01097230618.wav,212,ಪರ್ವತಗಳು ವಾಯುವಿಗನುಗುಣವಾಗಿ ಕಂಪಿಸುವುವು.
/content/asr-task2-data/kannada_train/knf_00001_01200920211.wav,212,ಅಂತಾರಾಷ್ಟ್ರೀಯ ಕಾರ್ಟೆಲ್ಲುಗಳಲ್ಲಿ ಎರಡು ವಿಧ
/content/asr-task2-data/kannada_train/knf_08476_01140084904.wav,1376300,ಪರಿಸ್ಥಿತಿ ಹೀಗಿದ್ದರೂ ದ್ವಿತೀಯ ಅಂತಾರಾಷ್ಟ್ರೀಯವು ಶ್ರಮಜೀವಿಗಳ ಅನೇಕ ಹೋರಾಟಗಳಲ್ಲಿ ಜಯಗಳಿಸಿ ಕಾರ್ಮಿಕ ಚಳವಳಿಯನ್ನು ಪ್ರಭಾವಶಾಲಿಯನ್ನಾಗಿ ಮಾಡಿತು
/content/asr-task2-data/kannada_train/knf_08476_01140084904.wav,212,ಪರಿಸ್ಥಿತಿ ಹೀಗಿದ್ದರೂ ದ್ವಿತೀಯ ಅಂತಾರಾಷ್ಟ್ರೀಯವು ಶ್ರಮಜೀವಿಗಳ ಅನೇಕ ಹೋರಾಟಗಳಲ್ಲಿ ಜಯಗಳಿಸಿ ಕಾರ್ಮಿಕ ಚಳವಳಿಯನ್ನು ಪ್ರಭಾವಶಾಲಿಯನ್ನಾಗಿ ಮಾಡಿತು
/content/asr-task2-data/kannada_train/knf_00001_01610070590.wav,794668,ಒಂದು ಸಾರ್ತಿ ಈ ಪಾರ್ಶ್ವಚಿತ್ರ ನಿರ್ಮಾಣವಾದ ನಂತರ
/content/asr-task2-data/kannada_train/knf_03271_01280046274.wav,212,ಮಣ್ಣು ಹಾಗೂ ಸಂಪುಟದ ನಡುವಿನ ಜಾಗವನ್ನು ಒತ್ತಡಕ್ಕೊಳಪಡಿಸಿರುತ್ತಾರೆ.
/content/asr-task2-data/kannada_train/knf_08476_00023010443.wav,909356,ತನ್ನ ವ್ಯವಹಾರದಿಂದ ಸಂಭವಿಸಬಹುದಾದ ಎಲ್ಲ ಲಾಭನಷ್ಟಗಳಿಗೂ ಈ ಸಂಸ್ಥೆಯೇ ಪುರ್ಣವಾಗಿ ಹೊಣೆಯಾಗಿದೆ
/content/asr-task2-data/kannada_train/knf_00001_01200920211.wav,524332,ಅಂತಾರಾಷ್ಟ್ರೀಯ ಕಾರ್ಟೆಲ್ಲುಗಳಲ್ಲಿ ಎರಡು ವಿಧ
