wav_filename,wav_filesize,transcript
/content/asr-task2-data/test_kannada/knf_06123_00368408007.wav,434220,ಇದರ ಜೊತೆಗೆ ನೀರಿನ ಮರುಪೂರಣೆ ಸಮರ್ಪಕವಾಗಿ ಆಗುತ್ತಿಲ್ಲ.
/content/asr-task2-data/test_kannada/knf_01779_02006639329.wav,614444,ಪುರಾಣಗಳಲ್ಲಿ ಬ್ರಹ್ಮನೇ ಆಯುರ್ವೇದಕ್ಕೆ ಮೂಲ ಎಂದಿದೆ.
/content/asr-task2-data/test_kannada/knf_01779_02006639329.wav,212,ಪುರಾಣಗಳಲ್ಲಿ ಬ್ರಹ್ಮನೇ ಆಯುರ್ವೇದಕ್ಕೆ ಮೂಲ ಎಂದಿದೆ.
/content/asr-task2-data/test_kannada/knf_05550_01010202503.wav,507948,"ಅಂತರಿಕ್ಷಯಾನ ಇಂಜಿನಿಯರುಗಳು, ನಾಗರಿಕ ವಿಮಾನಯಾನ"
/content/asr-task2-data/test_kannada/knf_06123_01599183050.wav,212,ಗ್ರಾಮದಲ್ಲಿ ಫಲವತ್ತಾದ ಭೂಮಿ ಇರುವುದರಿಂದ ಎಪ್ಪತ್ತು ಪ್ರತಿಶತ ಜನಸಂಖ್ಯೆ ಕೃಷಿಯಲ್ಲಿ ನಿರತರಾಗಿದ್ದಾರೆ.
/content/asr-task2-data/test_kannada/knf_05550_01010202503.wav,212,"ಅಂತರಿಕ್ಷಯಾನ ಇಂಜಿನಿಯರುಗಳು, ನಾಗರಿಕ ವಿಮಾನಯಾನ"
/content/asr-task2-data/test_kannada/knf_00254_01445391292.wav,385068,ಅಲ್ಲದೇ ಅವುಗಳನ್ನು ಅಲ್ಲಿನ ಅಡುಗೆ ಮನೆಯಲ್ಲಿ ಬೇಯಿಸುತ್ತಾರೆ.
/content/asr-task2-data/test_kannada/knf_09696_02009165869.wav,622636,ಹವಾಮಾನ ಅನನಕೂಲವಾಗಿದ್ದರೆ ಇವುಗಳನ್ನು ಒಂದು ದಿನದಲ್ಲಿ ಪೂರ್ಣಗೊಳಿಸುವುದಿಲ್ಲ.
/content/asr-task2-data/test_kannada/knf_06123_01599183050.wav,729132,ಗ್ರಾಮದಲ್ಲಿ ಫಲವತ್ತಾದ ಭೂಮಿ ಇರುವುದರಿಂದ ಎಪ್ಪತ್ತು ಪ್ರತಿಶತ ಜನಸಂಖ್ಯೆ ಕೃಷಿಯಲ್ಲಿ ನಿರತರಾಗಿದ್ದಾರೆ.
/content/asr-task2-data/test_kannada/knf_00254_01541969378.wav,966700,ಸರ್ಕಾರದ ಖಜಾನೆಯ ಇಷ್ಟಾನುಸಾರವಾಗಿ ಹೆಚ್ಚು ವ್ಯಾಪಕವಾದ ಬಹಿರಂಗಪಡಿಸುವಿಕೆಯ ಅವಶ್ಯಕತೆಯು ಕಂಡುಬರಬಹುದು.
